name,ra,dec,fitting_bands_exclude,starsub_bands_exclude,fitting_min_semimaj_arcsec
NGC0300,13.72305,-37.68448,,,584.9533285
NGC0337,14.95875,-7.57818,,,88.53628263
NGC0428,18.23175,0.98168,,,84.55149722
NGC0448,18.81885,-1.62626,,,47.54680099
NGC0450,18.87675,-0.86092,,,88.53628263
NGC0493,20.53785,0.94576,,,90.59855559
NGC0520,21.14445,3.7942,,,122.2140874
NGC0584,22.8363,-6.86805,,,114.0568302
NGC0586,22.90365,-6.89375,,,48.65430719
NGC0613,23.5758,-29.41844,,,164.8622658
NGC0625,23.77125,-41.43676,,,198.2080583
NGC0628,24.174,15.78332,,,300
NGC0678,27.35355,21.99728,,,92.70886501
NGC0720,28.2522,-13.73858,,,134.0050703
NGC0855,33.51495,27.87685,,,88.53628263
NGC0891,35.6397,42.34712,,,395.4769174
NGC0895,35.40195,-5.52139,,,99.33933208
NGC0925,36.82035,33.579,,,321.4557704
NGC1052,40.2699,-8.2558,,,88.53628263
NGC1056,40.70145,28.57372,,,55.86261165
NGC1068,40.66965,-0.01324,,,184.9784843
NGC1097,41.57955,-30.27497,,,314.1385506
NGC1140,43.6398,-10.02833,,,61.25213027
NGC1189,45.85215,-15.62342,,,42.37612401
NGC1199,45.9105,-15.61384,,,84.55149722
NGC1222,47.2365,-2.95531,,,47.54680099
NGC1266,49.0032,-2.42735,,,44.37324726
NGC1316,50.6739,-37.20821,,,404.6889714
NGC1317,50.6844,-37.10381,,,92.70886501
NGC1320,51.20295,-3.04223,,,55.86261165
NGC1336,51.6342,-35.71366,,,58.49533285
NGC1351A,52.20315,-35.17825,,,75.35658881
NGC1365,53.40165,-36.14051,,,360.679267
NGC1369,54.1884,-36.25615,,,67.16163784
NGC1373,53.74665,-35.1711,,,36.0679366
NGC1374,53.8191,-35.22633,,,86.52095269
NGC1375,53.82015,-35.26562,,,68.72603185
NGC1377,54.1629,-20.90202,,,62.6788915
NGC1379,54.0159,-35.44116,,,80.74603437
NGC1380A,54.19785,-34.73962,,,82.62687199
NGC1381,54.13215,-35.29521,,,77.11186756
NGC1386,54.19245,-35.99923,,,108.9234021
NGC1387,54.23775,-35.50663,,,90.59855559
NGC1389,54.2988,-35.74602,,,77.11186756
NGC1399,54.62115,-35.45063,,,255.3413806
NGC1404,54.71625,-35.59424,,,150.3561866
NGC1412,55.12245,-26.86225,,,32.14557704
NGC1419,55.17555,-37.51088,,,44.37324726
NGC1427A,55.03875,-35.62451,,,67.16163784
NGC1428,55.59555,-35.15361,,,44.37324726
NGC1436,55.9044,-35.85304,,,88.53628263
NGC1437B,56.47875,-36.35695,,,86.52095269
NGC1460,56.5572,-36.6964,,,57.16381777
NGC1481,58.62075,-20.42722,,,30.69878909
NGC1482,58.66215,-20.50232,,,73.64126504
NGC1510,60.88605,-43.40009,,,39.54770259
NGC1512,60.97605,-43.3488,,,255.3413806
NGC1566,65.0016,-54.93781,,,217.3307952
NGC1569,67.7049,64.84816,,,116.7135525
NGC1617,67.9149,-54.60201,,,157.4422484
NGC1705,73.5564,-53.36097,,,55.86261165
NGC1800,76.6071,-31.95411,,,46.46450469
NGC1808,76.9263,-37.51296,,,161.109546
NGC1924,82.0083,-5.31064,,,47.54680099
NGC2110,88.04745,-7.45607,,,54.59102456
NGC2146,94.6569,78.35693,,,161.109546
NGC2207,94.09185,-21.37271,,,146.9336652
NGC2273,102.53655,60.84584,,,68.72603185
NGC2403,114.2142,65.60242,,,598.5786288
NGC2480,119.2935,23.77976,,,39.54770259
NGC2481,119.30715,23.76767,,,40.46888603
NGC2549,124.74315,57.80308,,,108.9234021
NGC2577,125.6811,22.55303,,,46.46450469
NGC2592,126.7836,25.97033,,,44.37324726
NGC2655,133.9101,78.22342,,,116.7135525
NGC2679,132.88725,30.86535,,,55.86261165
NGC2685,133.89465,58.7341,,,130.9547454
NGC2764,137.0727,21.44324,,,34.44460411
NGC2768,137.9061,60.03725,,,168.7023976
NGC2778,138.1017,35.02742,,,38.64748782
NGC2787,139.82685,69.20331,,,97.07809495
NGC2798,139.34505,41.99907,,,73.64126504
NGC2799,139.3791,41.99416,,,53.3483823
NGC2841,140.51025,50.97683,,,207.5493072
NGC2853,140.82225,40.20008,,,49.7876105
NGC2859,141.07725,34.51336,,,94.86832981
NGC2907,142.9026,-16.73466,,,84.55149722
NGC2915,141.5493,-76.62644,,,54.59102456
NGC2950,145.64625,58.85119,,,78.90803196
NGC2974,145.6386,-3.69876,,,104.021046
NGC2976,146.8146,67.91626,,,172.6319774
NGC2992,146.4252,-14.32638,,,88.53628263
NGC2993,146.4513,-14.36838,,,40.46888603
NGC3031,148.88805,69.06544,,,641.3885142
NGC3034,148.968,69.67977,,,328.9434299
NGC3049,148.70685,9.27136,,,62.6788915
NGC3073,150.2169,55.61892,,,36.0679366
NGC3077,150.82845,68.734,,,157.4422484
NGC3079,150.49095,55.67982,,,243.8491361
NGC3081,149.87295,-22.82636,,,80.74603437
NGC3147,154.2237,73.40073,,,122.2140874
NGC3155,154.41615,74.34739,,,36.0679366
NGC3182,154.8876,58.20579,,,57.16381777
NGC3184,154.5708,41.42436,,,222.3930748
NGC3185,154.41075,21.68832,,,64.13886902
NGC3187,154.4493,21.87333,,,67.16163784
NGC3190,154.52625,21.83272,,,108.9234021
NGC3193,154.60365,21.894,,,70.32686523
NGC3198,154.9788,45.54971,,,193.6962432
NGC3226,155.86245,19.89836,,,94.86832981
NGC3227,155.8776,19.86498,,,119.4321577
NGC3245A,156.7548,28.63939,,,70.32686523
NGC3252,158.59635,73.76502,,,55.86261165
NGC3254,157.33425,29.49219,,,70.32686523
NGC3256,156.96375,-43.90376,,,99.33933208
NGC3277,158.2311,28.51167,,,62.6788915
NGC3283,157.79835,-46.2513,,,86.52095269
NGC3287,158.697,21.64829,,,53.3483823
NGC3294,159.06765,37.32462,,,92.70886501
NGC3301,159.2334,21.88214,,,108.9234021
NGC3338,160.5315,13.7469,,,36.90806596
NGC3346,160.91205,14.87179,,,78.90803196
NGC3348,161.79165,72.83967,,,64.13886902
NGC3351,160.99035,11.70355,,,217.3307952
NGC3353,161.3433,55.96036,,,40.46888603
NGC3364,162.1242,72.42506,,,41.41152657
NGC3370,161.76675,17.27369,,,73.64126504
NGC3380,162.0507,28.60181,,,46.46450469
NGC3381,162.10335,34.7114,,,59.85786288
NGC3395,162.45885,32.98283,,,47.54680099
NGC3396,162.4806,32.99078,,,92.70886501
NGC3403,163.47855,73.69036,,,82.62687199
NGC3413,162.8364,32.76639,,,59.85786288
NGC3414,162.81735,27.97483,,,80.74603437
NGC3424,162.94335,32.90041,,,75.35658881
NGC3430,163.04775,32.95066,,,119.4321577
NGC3437,163.14885,22.93414,,,70.32686523
NGC3440,163.45605,57.11866,,,61.25213027
NGC3445,163.6488,56.98981,,,42.37612401
NGC3448,163.66425,54.30515,,,88.53628263
NGC3454,163.62165,17.34446,,,71.96498678
NGC3455,163.62945,17.28472,,,68.72603185
NGC3458,164.00625,57.11693,,,41.41152657
NGC3485,165.01005,14.84132,,,65.63285376
NGC3488,165.34815,57.67763,,,45.40683197
NGC3501,165.69705,17.98949,,,127.9738542
NGC3504,165.79635,27.97246,,,73.64126504
NGC3512,166.0134,28.03625,,,47.54680099
NGC3516,166.69785,72.56854,,,57.16381777
NGC3521,166.45245,-0.03578,,,249.5291067
NGC3526,166.7361,7.1739,,,71.96498678
NGC3547,167.48295,10.72052,,,52.13402601
NGC3564,167.65155,-37.54751,,,59.85786288
NGC3592,168.61395,17.25999,,,64.13886902
NGC3596,168.77595,14.78694,,,106.4440051
NGC3608,169.2456,18.14854,,,94.86832981
NGC3610,169.6053,58.78622,,,71.96498678
NGC3613,169.6506,57.99992,,,106.4440051
NGC3619,169.8399,57.7578,,,116.7135525
NGC3620,169.01955,-76.21625,,,94.86832981
NGC3621,169.5687,-32.81398,,,293.1711727
NGC3622,170.05155,67.24166,,,37.76776443
NGC3626,170.0157,18.35704,,,88.53628263
NGC3627,170.0625,12.99099,,,306.9878909
NGC3628,170.0706,13.58876,,,328.9434299
NGC3629,170.1324,26.96329,,,53.3483823
NGC3631,170.262,53.16994,,,111.4605822
NGC3640,170.2788,3.23479,,,130.9547454
NGC3655,170.7279,16.59003,,,45.40683197
NGC3659,170.9391,17.81839,,,58.49533285
